Match_ID,Game_Mode,Result,Duration,Radiant_Team,Dire_Team
8002555528,22,Loss,2044,"Lina, Juggernaut, Jakiro, Ursa, Clockwerk","Dark Willow, Crystal Maiden, Earthshaker, Phantom Assassin, Warlock"
8002488869,22,Loss,2118,"Bounty Hunter, Necrophos, Lich, Dragon Knight, Night Stalker","Witch Doctor, Mars, Crystal Maiden, Broodmother, Phantom Assassin"
8001628072,22,Loss,2788,"Templar Assassin, Rubick, Bristleback, Nyx Assassin, Medusa","Shadow Demon, Bounty Hunter, Alchemist, Legion Commander, Abaddon"
8001595390,22,Loss,1617,"Templar Assassin, Sand King, Tinker, Sniper, Lion","Alchemist, Sven, Dazzle, Grimstroke, Gyrocopter"
8000532301,22,Loss,2971,"Treant Protector, Hoodwink, Ember Spirit, Drow Ranger, Centaur Warrunner","Alchemist, Broodmother, Abaddon, Sand King, Ringmaster"
8000445445,22,Loss,2734,"Vengeful Spirit, Techies, Nyx Assassin, Viper, Nature's Prophet","Storm Spirit, Spectre, Abaddon, Slardar, Bounty Hunter"
7999543243,22,Loss,2840,"Zeus, Snapfire, Ursa, Ogre Magi, Crystal Maiden","Drow Ranger, Pudge, Lycan, Venomancer, Sand King"
7996094974,22,Win,1969,"Troll Warlord, Spirit Breaker, Ogre Magi, Marci, Necrophos","Witch Doctor, Phantom Assassin, Timbersaw, Bounty Hunter, Meepo"
7996029340,22,Loss,2190,"Pudge, Razor, Lion, Terrorblade, Vengeful Spirit","Tiny, Silencer, Enigma, Witch Doctor, Troll Warlord"
7995109299,22,Win,1736,"Clockwerk, Sniper, Phantom Assassin, Snapfire, Venomancer","Ogre Magi, Wraith King, Hoodwink, Legion Commander, Lifestealer"
7994867459,22,Loss,4499,"Shadow Demon, Dazzle, Monkey King, Lina, Weaver","Phantom Assassin, Bloodseeker, Undying, Witch Doctor, Lion"
7994669032,22,Loss,1879,"Sniper, Rubick, Pudge, Grimstroke, Necrophos","Monkey King, Bane, Queen of Pain, Crystal Maiden, Phantom Assassin"
7994592284,22,Loss,2269,"Snapfire, Mars, Shadow Fiend, Ringmaster, Ember Spirit","Medusa, Hoodwink, Abaddon, Jakiro, Luna"
7994290004,22,Loss,2309,"Muerta, Lina, Kunkka, Luna, Pudge","Necrophos, Rubick, Earth Spirit, Centaur Warrunner, Slark"
7983022997,22,Loss,3295,"Primal Beast, Pugna, Phantom Assassin, Dazzle, Lina","Skywrath Mage, Vengeful Spirit, Bristleback, Ursa, Magnus"
7982073252,22,Win,3103,"Phantom Lancer, Shadow Shaman, Ogre Magi, Abaddon, Legion Commander","Doom, Spectre, Nature's Prophet, Bounty Hunter, Outworld Destroyer"
7981968245,22,Loss,3725,"Rubick, Winter Wyvern, Sniper, Earthshaker, Faceless Void","Legion Commander, Riki, Warlock, Techies, Bloodseeker"
7976269205,22,Loss,2325,"Undying, Pudge, Puck, Spectre, Warlock","Luna, Lifestealer, Hoodwink, Magnus, Sniper"
7975783164,22,Win,2196,"Hoodwink, Zeus, Kunkka, Abaddon, Gyrocopter","Clinkz, Tusk, Lion, Winter Wyvern, Medusa"
7975700993,22,Win,2112,"Alchemist, Shadow Demon, Sniper, Underlord, Dark Seer","Ringmaster, Lion, Queen of Pain, Monkey King, Luna"
7974751777,22,Loss,3043,"Drow Ranger, Ancient Apparition, Viper, Tiny, Hoodwink","Mirana, Tusk, Magnus, Invoker, Disruptor"
7974554217,22,Win,3259,"Crystal Maiden, Medusa, Pudge, Juggernaut, Bounty Hunter","Phantom Assassin, Warlock, Rubick, Snapfire, Sand King"
7974393181,22,Loss,3209,"Tinker, Doom, Broodmother, Luna, Nature's Prophet","Spectre, Pugna, Invoker, Disruptor, Dawnbreaker"
7974244065,22,Win,1673,"Gyrocopter, Crystal Maiden, Zeus, Omniknight, Necrophos","Riki, Lich, Phantom Assassin, Slardar, Juggernaut"
7974069047,22,Loss,4323,"Puck, Wraith King, Windranger, Anti-Mage, Lion","Dazzle, Witch Doctor, Storm Spirit, Rubick, Drow Ranger"
7964185958,22,Loss,2636,"Hoodwink, Ringmaster, Chaos Knight, Void Spirit, Earthshaker","Medusa, Tusk, Centaur Warrunner, Dark Willow, Puck"
7964092531,22,Loss,2471,"Clockwerk, Broodmother, Morphling, Puck, Disruptor","Timbersaw, Silencer, Tiny, Necrophos, Sniper"
7963974755,22,Loss,2282,"Phantom Assassin, Lifestealer, Earthshaker, Lich, Invoker","Shadow Fiend, Ancient Apparition, Tidehunter, Void Spirit, Dark Willow"
7962423248,22,Loss,2666,"Puck, Alchemist, Doom, Enchantress, Silencer","Wraith King, Timbersaw, Ogre Magi, Dazzle, Bristleback"
7962329130,22,Loss,2110,"Necrophos, Timbersaw, Rubick, Medusa, Nature's Prophet","Hoodwink, Centaur Warrunner, Sand King, Shadow Shaman, Alchemist"
7955692966,22,Loss,3948,"Dragon Knight, Rubick, Sniper, Marci, Underlord","Ogre Magi, Lion, Earthshaker, Shadow Shaman, Sand King"
7955288001,22,Loss,3114,"Ringmaster, Sniper, Bristleback, Disruptor, Dragon Knight","Rubick, Luna, Invoker, Timbersaw, Zeus"
7954609697,22,Loss,3894,"Sniper, Witch Doctor, Drow Ranger, Ursa, Shadow Demon","Pudge, Enchantress, Puck, Silencer, Dragon Knight"
7953896452,22,Win,3051,"Warlock, Vengeful Spirit, Necrophos, Puck, Phantom Assassin","Oracle, Lina, Pudge, Shadow Fiend, Spirit Breaker"
7953751757,22,Loss,3416,"Dragon Knight, Pangolier, Snapfire, Luna, Treant Protector","Puck, Night Stalker, Warlock, Hoodwink, Faceless Void"
7953568645,22,Win,2356,"Queen of Pain, Witch Doctor, Windranger, Earthshaker, Vengeful Spirit","Sand King, Weaver, Tiny, Tusk, Huskar"
7953214537,22,Win,3166,"Bristleback, Zeus, Lion, Disruptor, Sven","Beastmaster, Mirana, Drow Ranger, Kunkka, Grimstroke"
7953068684,22,Loss,2016,"Juggernaut, Shadow Shaman, Tiny, Dragon Knight, Snapfire","Weaver, Io, Rubick, Monkey King, Hoodwink"
7952196128,22,Win,2176,"Jakiro, Puck, Windranger, Rubick, Clockwerk","Dragon Knight, Snapfire, Muerta, Techies, Marci"
7952142927,22,Win,2071,"Viper, Drow Ranger, Ogre Magi, Marci, Underlord","Dragon Knight, Ringmaster, Snapfire, Bristleback, Lina"
7952075378,22,Win,1862,"Storm Spirit, Vengeful Spirit, Viper, Shadow Fiend, Sniper","Lina, Phantom Assassin, Jakiro, Nature's Prophet, Ogre Magi"
7951988716,22,Win,2337,"Puck, Wraith King, Venomancer, Spectre, Ogre Magi","Riki, Winter Wyvern, Dragon Knight, Sniper, Lina"
7913656755,22,Loss,3678,"Tinker, Chen, Tidehunter, Hoodwink, Weaver","Sniper, Spectre, Wraith King, Rubick, Ringmaster"
7892432912,22,Loss,2240,"Outworld Destroyer, Slark, Queen of Pain, Hoodwink, Lion","Juggernaut, Witch Doctor, Spirit Breaker, Huskar, Warlock"
7881005215,22,Loss,3072,"Grimstroke, Lich, Doom, Phantom Assassin, Wraith King","Enchantress, Outworld Destroyer, Luna, Phoenix, Abaddon"
7880933748,22,Loss,1705,"Skywrath Mage, Riki, Warlock, Visage, Magnus","Crystal Maiden, Juggernaut, Lion, Mars, Silencer"
7880646184,22,Loss,2559,"Phantom Assassin, Underlord, Rubick, Sand King, Ogre Magi","Juggernaut, Winter Wyvern, Necrophos, Warlock, Wraith King"
7877584787,22,Loss,2237,"Clinkz, Crystal Maiden, Rubick, Earthshaker, Anti-Mage","Sniper, Undying, Slardar, Dark Willow, Bristleback"
7877504039,22,Loss,1633,"Witch Doctor, Viper, Zeus, Pudge, Weaver","Phantom Assassin, Alchemist, Lion, Bristleback, Morphling"
7877417070,22,Loss,2333,"Queen of Pain, Lina, Enigma, Phantom Assassin, Spirit Breaker","Disruptor, Medusa, Rubick, Skywrath Mage, Centaur Warrunner"
